Title,Number of ratings,Gutenberg ID,Factor,Rank
A Rose of a Hundred Leaves: A Love Story,17,33599,Y,233
By Far Euphrates: A Tale,17,49915,Y,234
Clementina,17,13567,Y,235
D'ri and I: A Tale of Daring Deeds in the Second War with the British,17,12440,Y,236
Denzil Quarrier: A Novel,17,4303,Y,237
Eliza,17,23783,Y,238
The Cardinal's Snuff-Box,17,5610,Y,239
The Crack of Doom,17,26563,Y,240
The Great Stone of Sardis: A Novel,16,6127,Y,241
"Farewell, Nikola",15,39906,Y,242
A Gallant Grenadier: A Tale of the Crimean War,15,32930,Y,243
Clara Hopgood,15,5986,Y,244
In the Roar of the Sea: A Tale of the Cornish Coast,15,40631,Y,245
The Watchers,15,38693,Y,246
"Vandrad the Viking: or, The Feud and the Spell",15,5120,Y,247
Herb of Grace,14,4005,Y,248
In the Palace of the King: A Love Story of Old Madrid,14,13243,Y,249
John Splendid: The Tale of a Poor Gentleman and the Little Wars of Lorn,14,22321,Y,250
The Broom-Squire,14,30354,Y,251
The History of Sir Richard Calmady: A Romance,14,23784,Y,252
The Zeit-Geist,14,18054,Y,253
Against Odds: A Detective Story,13,29670,Y,254
They That Walk in Darkness: Ghetto Tragedies,13,35076,Y,255
Recalled to Life,13,5832,Y,256
The Beautiful White Devil,13,37948,Y,257
The Chase of the Ruby,13,40349,Y,258
The Duke of Stockbridge: A Romance of Shay's Rebellion,13,7472,Y,259
The Gateless Barrier,13,34619,Y,260
The Kopje Garrison: A Tale of the Boer War,13,27897,Y,261
The Last Entry: A Tale,13,44546,Y,262
Wolfville,13,3732,Y,263
A Millionaire of Yesterday,12,1878,Y,264
An Englishwoman's Love-Letters,12,15941,Y,265
His Big Opportunity,12,11470,Y,266
Lords of the World: A Story of the Fall of Carthage and Corinth,12,41464,Y,267
My Lady Rotha: A Romance,12,38985,Y,268
Tales of Trail and Town,12,2550,Y,269
The Great War in England in 1897,12,37470,Y,270
The Midnight Passenger: A Novel,12,6008,Y,271
The Quest of the Golden Girl: A Romance,12,461,Y,272
Adventures in Toyland,11,23523,Y,273
Eleanor,11,9087,Y,274
Lord Ormont and his Aminta: A Novel,11,4482,Y,275
The Amazing Marriage,11,4488,Y,276
The Courtship of Morrice Buckler: A Romance,11,38665,Y,277
The Field of Clover,11,18872,Y,278
The Iron Pirate: A Plain Tale of Strange Happenings on the Sea,11,26514,Y,279
The Lilac Sunbonnet,11,4918,Y,280
The Reign of Law: A Tale of the Kentucky Hemp Fields,11,3791,Y,281
A Bicycle of Cathay: A Novel,10,12334,Y,282
A Cabinet Secret,10,36892,Y,283
Amusement Only,10,38188,Y,284
Audrey Craven,10,29766,Y,285
Celibates,10,6005,Y,286
"I, Thou, and the Other One: A Love Story",10,34628,Y,287
In the Quarter,10,6893,Y,288
"London Pride: or, When the World was Younger",10,9377,Y,289
Mollie's Prince,10,40083,Y,290
Prince Ricardo of Pantouflia: Being the Adventures of Prince Prigio's Son,10,21994,Y,291
The Worshipper of the Image,10,10812,Y,292
