,Title,Genre,Goodreads,Sentiment,Status,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust,Negative,Positive,Tokens,AngerPR,AnticipationPR,DisgustPR,FearPR,JoyPR,SadnessPR,SurprisePR,TrustPR,MeanH,MeanL
838,An African Millionaire Episodes in the Life of the Illustrious Colonel Clay   ,Detection & Mystery,114,0.235712,Neither,296,281,224,346,252,276,175,431,693,748,67547,0.438213392,0.416006632,0.331620945,0.512235925,0.373073564,0.408604379,0.259078864,0.63807423,1.914223,1.462685241
840,An Artist in Crime   ,Detection & Mystery,0,0.229548,Neither,247,266,172,296,227,247,161,340,590,625,71580,0.345068455,0.371612182,0.240290584,0.413523331,0.317127689,0.345068455,0.224923163,0.474993015,1.540933,1.191673652
193,Jane Field  A Novel,Domestic,0,0.148023,Neither,176,179,116,202,166,192,119,212,451,450,51248,0.343428036,0.349281923,0.226350297,0.394161723,0.32391508,0.374648767,0.232204184,0.41367468,1.520059,1.13760537
338,Rose of Dutcher's Coolly,Domestic,34,0.311237,Neither,341,331,251,404,315,368,197,421,820,837,89350,0.381645215,0.370453274,0.280917739,0.452154449,0.352546167,0.411863458,0.220481253,0.47118075,1.687745,1.253497482
368,Sisters Three,Domestic,0,0.298428,Neither,239,246,171,268,246,282,145,310,594,606,62018,0.385371989,0.396659034,0.275726402,0.432132607,0.396659034,0.454706698,0.233803089,0.499854881,1.723693,1.351220613
472,The Diary of a Nobody,Domestic,12574,0.217269,Canonical novels,176,172,137,206,174,196,128,258,446,462,43043,0.408893432,0.3996004,0.318286365,0.478591176,0.404246916,0.455358595,0.297377042,0.599400599,1.907395,1.454359594
490,The Farringdons,Domestic,5,0.578659,Bestsellers,316,328,232,361,329,363,167,460,778,885,108043,0.292476144,0.303582833,0.214729321,0.334126228,0.30450839,0.335977342,0.154568089,0.425756412,1.300408,1.065316587
560,The Jamesons,Domestic,0,0.351842,Neither,130,161,100,160,158,157,96,221,330,417,29402,0.442146793,0.547581797,0.340112917,0.544180668,0.53737841,0.53397728,0.326508401,0.751649548,2.190327,1.833208625
618,The Odd Women,Domestic,4395,0.153501,Canonical novels,432,376,328,520,340,469,218,529,1052,1005,141737,0.304789857,0.265280061,0.231414521,0.36687668,0.239880906,0.330894544,0.153805993,0.373226469,1.296768,0.969401074
664,The Sacred Fount,Domestic,223,0.354344,Neither,227,279,172,295,250,272,179,349,616,687,78999,0.287345409,0.353169027,0.217724275,0.373422448,0.316459702,0.344308156,0.226585147,0.441777744,1.421537,1.139254927
680,The Spoils of Poynton,Domestic,1225,0.256488,Canonical novels,283,297,213,353,265,309,195,371,733,715,72562,0.390011301,0.409305146,0.293542074,0.486480527,0.365204928,0.425842728,0.268735702,0.511286899,1.803975,1.346434773
783,Two Maiden Aunts,Domestic,8,0.411243,Neither,146,173,92,195,167,176,103,215,372,414,46641,0.313029309,0.370918291,0.197251345,0.418087091,0.358054073,0.3773504,0.220835745,0.460967818,1.507258,1.209236509
794,Was It Right to Forgive A Domestic Romance,Domestic,2,0.342048,Neither,317,307,227,369,318,360,175,447,781,836,86163,0.367907338,0.356301429,0.263454151,0.428258069,0.369067929,0.41781275,0.20310342,0.518784165,1.631791,1.292898344
802,What Maisie Knew,Domestic,5204,0.363179,Canonical novels,315,321,235,378,287,319,204,398,833,780,96736,0.325628515,0.331830963,0.242929209,0.390754218,0.296683758,0.32976348,0.210883229,0.411429044,1.466879,1.073023487
385,Sylvie and Bruno,Sci-fi & Fantasy,279,0.18255,Neither,236,263,180,311,262,285,167,338,635,655,67773,0.348221268,0.388060142,0.265592493,0.458884807,0.386584628,0.420521447,0.246410813,0.498723681,1.705694,1.307305269
751,The Wood Beyond the World,Sci-fi & Fantasy,2,0.31745,Canonical novels,124,140,102,186,140,150,78,175,340,331,50466,0.245709983,0.277414497,0.202116276,0.368564974,0.277414497,0.297229818,0.154559505,0.346768121,1.248365,0.921412436
1,"Farewell, Nikola  ",Gothic,15,0.23124,Neither,268,269,189,337,248,285,151,353,627,645,70419,0.380579105,0.381999176,0.268393473,0.478564024,0.352177679,0.404720317,0.214430764,0.501285165,1.694145,1.288004658
5,At a Winter's Fire  ,Gothic,18,-0.140801,Neither,354,305,301,488,255,396,187,390,961,759,57557,0.61504248,0.529909481,0.522959848,0.84785517,0.443039074,0.688013621,0.324895321,0.677589172,2.753792,1.895512275
87,Dracula  ,Gothic,897395,0.103137,Canonical novels,398,366,295,532,305,436,221,468,1006,907,163422,0.243541261,0.223960054,0.180514251,0.325537565,0.186633379,0.266793945,0.13523271,0.286375151,1.071459,0.77712915
415,The Beetle A Mystery,Gothic,2275,-0.013354,Canonical novels,414,328,322,508,264,408,210,435,1006,802,114912,0.360275689,0.285435812,0.280214425,0.442077416,0.229741019,0.355054302,0.182748538,0.378550543,1.495057,1.019040657
572,The Last Tenant,Gothic,6,0.158645,Neither,256,262,187,354,212,298,167,337,669,624,74380,0.344178543,0.352245227,0.25141167,0.475934391,0.285022856,0.400645335,0.224522721,0.453078785,1.581070,1.205969347
629,The Picture of Dorian Gray,Gothic,919179,0.061888,Canonical novels,297,255,265,348,245,347,146,350,734,670,80027,0.371124745,0.318642458,0.331138241,0.434853237,0.306146675,0.433603659,0.182438427,0.437352394,1.625701,1.189598511
676,The Sorrows of Satan or The Strange Experience of One Geoffrey Tempest Millionaire A Romance,Gothic,892,0.377599,Bestsellers,530,447,426,637,436,534,280,614,1336,1209,165160,0.320900945,0.270646646,0.257931703,0.385686607,0.263986437,0.323322838,0.169532574,0.371760717,1.398038,0.965730201
734,The Were Wolf,Gothic,212,-0.325035,Neither,177,150,126,227,124,166,106,144,415,321,15537,1.139216065,0.965437343,0.810967368,1.461028513,0.79809487,1.068417326,0.682242389,0.926819849,4.891549,2.960674519
743,The Witch of Prague,Gothic,79,0.027188,Neither,411,352,304,515,301,429,205,466,988,888,136448,0.301213649,0.257973734,0.222795497,0.377433161,0.220596857,0.314405488,0.150240385,0.341522045,1.272280,0.913901266
776,Trilby,Gothic,1042,0.422542,Both canonical and bestsellers,373,336,303,441,360,419,223,458,947,985,104974,0.355326081,0.320079258,0.288642902,0.420104026,0.342942062,0.399146455,0.212433555,0.436298512,1.619449,1.155524225
829,Ziska The Problem of a Wicked Soul   ,Gothic,126,0.365175,Neither,327,298,235,388,288,313,172,391,750,752,60494,0.540549476,0.492610837,0.388468278,0.641385923,0.476080272,0.517406685,0.284325718,0.646345092,2.330810,1.656362614
6,At Aboukir and Acre A Story of Napoleon's Invasion of Egypt ,Historical & Political,0,0.132627,Neither,296,266,174,381,207,296,147,360,673,644,110926,0.266844563,0.239799506,0.156861331,0.343472225,0.186610894,0.266844563,0.13252078,0.324540685,1.086310,0.831184754
14,Beric the Briton A Story of the Roman Invasion ,Historical & Political,1080,0.063147,Neither,381,322,248,469,269,371,187,439,851,800,145971,0.261010749,0.220591761,0.16989676,0.321296696,0.18428318,0.254160073,0.128107638,0.300744668,1.064595,0.775496503
23,A Clerk of Oxford and His Adventures in the Baron's War  ,Historical & Political,0,0.39592,Neither,394,385,274,509,345,413,224,517,936,956,121005,0.32560638,0.318168671,0.226436924,0.420643775,0.285112185,0.34130821,0.185116318,0.427255072,1.442916,1.086731953
27,Both Sides the Border A Tale of Hotspur and Glendower,Historical & Political,0,0.233548,Neither,329,278,189,386,224,305,157,407,722,710,129225,0.254594699,0.215128652,0.146256529,0.298703811,0.173341072,0.236022441,0.121493519,0.314954537,0.994390,0.76610563
28,Bristol Bells A Story of the Eighteenth Century ,Historical & Political,1,0.138193,Neither,222,238,162,275,226,263,131,306,558,566,47757,0.46485332,0.498356262,0.339217288,0.575831815,0.473229055,0.550704609,0.274305337,0.640743765,2.127437,1.689804636
31,By England's Aid  or The Freeing of the Netherlands (1585-1604)  ,Historical & Political,0,0.133747,Neither,322,293,224,409,253,343,165,421,765,744,124037,0.259599958,0.236219838,0.180591275,0.329740319,0.203971396,0.27653039,0.133024823,0.339414852,1.106928,0.85216508
33,By order of the company  ,Historical & Political,0,-0.043176,Neither,359,309,245,455,296,362,186,410,891,752,117132,0.306491821,0.263804938,0.209165728,0.388450637,0.252706348,0.309053034,0.158795205,0.350032442,1.315610,0.922890414
36,"By Right of Conquest Or, With Cortez in Mexico  ",Historical & Political,0,0.207387,Neither,380,333,246,480,298,386,201,491,842,864,141291,0.268948482,0.235683802,0.174108754,0.339724399,0.210912231,0.273195037,0.142259592,0.347509749,1.135953,0.856388588
52,Clementina  ,Historical & Political,17,0.047929,Neither,317,270,219,385,235,320,177,357,764,684,90579,0.349970744,0.298082337,0.241777896,0.425043332,0.259442034,0.35328277,0.195409532,0.39413109,1.471644,1.045496197
69,D Ri and I A Tale of Daring Deeds in the Second War with the British Being the Memoirs of Colonel Ramon Bell U.S.A.,Historical & Political,17,0.113508,Neither,249,268,170,349,241,275,171,329,589,600,66955,0.371891569,0.400268837,0.253901874,0.521245613,0.359943245,0.41072362,0.255395415,0.491374804,1.762378,1.302367262
80,Domitia ,Historical & Political,1,0.048979,Neither,410,357,296,473,319,419,196,478,982,883,91530,0.447940566,0.390036054,0.323391238,0.516770458,0.348519611,0.457773408,0.214137441,0.522233148,1.850759,1.370042609
125,From the Memoirs of a Minister of France,Historical & Political,0,-0.022944,Neither,354,278,273,411,225,345,180,370,843,675,73497,0.481652312,0.378246731,0.371443732,0.559206498,0.306134944,0.469406915,0.244907955,0.503421908,1.963345,1.351075554
128,Gaston de Latour an unfinished romance,Historical & Political,6,0.782791,Neither,230,270,174,312,267,270,174,402,610,763,38571,0.596302922,0.700007778,0.451116124,0.808897877,0.692229914,0.700007778,0.451116124,1.042233803,2.999663,2.442249358
136,Grace O'Malley Princess and Pirate,Historical & Political,1,-0.003073,Neither,311,279,197,408,234,324,178,355,738,653,85544,0.363555597,0.326147947,0.230290844,0.476947536,0.27354344,0.378752455,0.208080052,0.414991116,1.552417,1.119891518
146,Held Fast For England A Tale of the Siege of Gibraltar 1779-83,Historical & Political,0,0.248522,Neither,276,259,188,346,212,277,150,369,656,628,122042,0.226151653,0.212222022,0.154045329,0.283508956,0.17371069,0.226971043,0.122908507,0.302354927,0.960325,0.741547992
185,In the Tideway,Historical & Political,0,0.150843,Neither,163,183,127,211,169,190,120,227,424,417,26265,0.620597754,0.696744717,0.483533219,0.803350466,0.643441843,0.723396155,0.456881782,0.864268037,3.007805,2.284408909
224,Lords of the World A story of the fall of Carthage and Corinth,Historical & Political,12,0.212932,Neither,354,324,239,442,270,380,178,450,860,859,92227,0.383835536,0.351307101,0.259143201,0.47925228,0.292755917,0.412026847,0.193002049,0.487926529,1.607989,1.251260477
238,Marietta A Maid of Venice,Historical & Political,23,0.167972,Neither,343,302,255,419,258,354,188,400,791,735,118035,0.290591774,0.255856314,0.216037616,0.354979455,0.218579235,0.299911043,0.159274791,0.338882535,1.239463,0.894649892
298,Perpetua A Tale of Nimes in A.D. 213 ,Historical & Political,1,0.024232,Neither,336,302,245,418,266,344,167,428,797,757,55601,0.604305678,0.543155699,0.440639557,0.75178504,0.478408662,0.618693908,0.30035431,0.769770328,2.575493,1.931619935
376,St.Ives Being the Adventures of a French Prisoner in England,Historical & Political,128,0.104993,Neither,424,357,320,502,329,418,212,504,1019,944,105163,0.403183629,0.339473009,0.304289531,0.477354203,0.312847675,0.397478201,0.201591815,0.479256012,1.699267,1.216207221
405,The Adventures of François Foundling Thief Juggler and Fencing Master during the French Revolution  ,Historical & Political,0,0.026909,Neither,348,287,250,452,257,355,180,393,810,720,78112,0.445514134,0.367421139,0.320053257,0.578656288,0.329014748,0.454475625,0.230438345,0.50312372,1.903677,1.325020483
492,The Fifth of November A Romance of the Stuarts,Historical & Political,2,0.026976,Neither,310,280,208,422,238,341,169,394,768,714,64405,0.481329089,0.434748855,0.322956292,0.655228631,0.369536527,0.529461998,0.262401987,0.611753746,2.091453,1.575964599
512,The Gold that Glitters The Mistakes of Jenny Lavender,Historical & Political,1,0.355888,Neither,125,149,95,148,149,165,82,204,299,395,23455,0.532935408,0.635259007,0.40503091,0.630995523,0.635259007,0.703474739,0.349605628,0.869750586,2.553826,2.208484332
595,The Maid of Maiden Lane,Historical & Political,6,0.467575,Neither,309,328,225,379,307,356,167,445,758,807,81768,0.377898444,0.401134918,0.27516877,0.463506506,0.3754525,0.435378143,0.204236376,0.544222679,1.696263,1.38073574
650,The Red Badge of Courage An Episode of the American Civil War,Historical & Political,87355,-0.131842,Neither,334,250,215,390,204,308,162,288,774,556,47041,0.71001892,0.531451287,0.457048107,0.829064008,0.43366425,0.654747986,0.344380434,0.612231883,2.774176,1.798431156
654,The Refugees A Tale of Two Continents,Historical & Political,130,0.03806,Bestsellers,399,326,303,501,288,405,201,442,975,813,124460,0.320584927,0.261931544,0.243451711,0.402538968,0.231399646,0.325405753,0.16149767,0.35513418,1.359473,0.942471477
698,The Thirsty Sword A Story of the Norse Invasion of Scotland 1262 1263,Historical & Political,26,-0.026256,Neither,303,254,187,405,199,311,158,320,648,571,78164,0.387646487,0.324957781,0.239240571,0.518141344,0.254592907,0.397881378,0.202139092,0.40939563,1.601760,1.132234788
703,The Tiger of Mysore A Story of the War with Tippoo Saib,Historical & Political,0,0.145083,Neither,321,288,191,413,220,329,164,378,730,681,137744,0.233041004,0.209083517,0.138663027,0.299831572,0.159716576,0.238848879,0.119061447,0.274422116,0.950314,0.722354513
720,The Vintage A Romance of the Greek War of Independence,Historical & Political,0,0.048279,Neither,412,367,303,534,314,410,220,471,1042,895,144321,0.28547474,0.254294247,0.209948656,0.370008523,0.217570555,0.284088941,0.152437968,0.326355832,1.235440,0.864739019
762,Through Russian Snows A Story of Napoleon s Retreat from Moscow,Historical & Political,0,0.124796,Neither,342,291,218,407,235,321,164,400,751,708,117504,0.291053922,0.247651144,0.185525599,0.346371187,0.199993192,0.27318219,0.139569717,0.340413943,1.162514,0.861247277
791,Via Crucis A Romance of the Second Crusade,Historical & Political,0,0.170537,Neither,350,286,230,419,272,372,192,399,805,744,108392,0.322902059,0.263857111,0.212192782,0.386559894,0.250941029,0.34319876,0.177134844,0.368108347,1.349731,0.975164219
810,Who Goes There  The Story of a Spy in the Civil War,Historical & Political,45,0.04385,Neither,338,312,232,460,240,381,187,424,863,755,153473,0.220234178,0.203293087,0.151166655,0.299726988,0.156379298,0.248252136,0.121845536,0.276270093,0.949353,0.727815316
816,With Frederick the Great A Story of the Seven Years War,Historical & Political,0,0.148994,Neither,334,285,221,398,250,337,157,422,758,745,124369,0.268555669,0.229156783,0.177697015,0.320015438,0.201014722,0.270967846,0.126237246,0.339312851,1.093520,0.83943748
817,With Moore at Corunna,Historical & Political,0,0.143052,Neither,344,254,214,393,215,321,152,393,766,647,134357,0.256034297,0.18904858,0.15927715,0.292504298,0.160021435,0.238915725,0.113131433,0.292504298,0.980969,0.720468602
