Book,Title,Goodreads,Sentiment,Status,MATTR
69,D Ri and I A Tale of Daring Deeds in the Second War with the British Being the Memoirs of Colonel Ramon Bell U.S.A.,17,0.113508,Neither,0.5109419529892382
70,Dariel A Romance of Surrey,0,0.357458,Neither,0.5182949391442336
71,Darkness and Dawn Or Scenes in the Days of Nero An Historic Tale,0,-0.10787,Neither,0.4958726117879737
72,Dead Men Tell No Tales,0,-0.073108,Neither,0.5070564837481908
73,Denzil Quarrier,17,0.237359,Neither,0.5408858676029333
74,Despair's Last Journey,0,0.107327,Neither,0.5067164915318719
75,Devil's Dice,2,0.025649,Neither,0.5383243029226856
76,Diana Tempest,26,0.030611,Neither,0.5084831523415037
77,Dodo A Detail of the Day,19,0.235914,Bestsellers,0.4794175241733317
78,A Daughter of To Day,0,0.360619,Neither,0.521228473487391
79,Dolly Dialogues,34,0.20572,Neither,0.47791007297181287
80,Domitia,1,0.048979,Neither,0.5170656169730127
81,Don Orsino,9,0.255548,Neither,0.499662698018326
82,Donald Ross of Heimra,1,0.152294,Neither,0.5051905223617964
83,Donna Teresa,0,0.080998,Neither,0.5238263319437446
84,Doom Castle,27,-0.017025,Neither,0.5241949002262489
85,Dorothy's Double,0,0.209429,Neither,0.4637901894331276
86,Dr. Rumsey's Patient,0,0.096053,Neither,0.4878873745611368
87,Dracula,897395,0.103137,Canonical novels,0.48763898168270725
88,Draw Swords In the Horse Artillery,9,0.143039,Neither,0.4896476839599023
89,A Deal with The Devil,8,0.159159,Neither,0.5118696180555555
90,Dream Days,235,0.29849,Neither,0.5347549648080797
91,Dream Life and Real Life A Little African Story  I.,19,0.141261,Neither,0.4498052516411379
92,Dreamers of the Ghetto,6,0.183184,Neither,0.5469840648768708
93,Drolls From Shadowland,0,0.019649,Neither,0.5058792886890989
94,Dwell Deep or Hilda Thorn's Life Story,18,0.270259,Neither,0.4890268998912936
95,Eben Holden A Tale of the North Country,45,0.155365,Neither,0.5111645490196078
96,Edward Barry South Sea Pearler,1,0.218872,Neither,0.5144154608290419
97,Eleanor,11,0.060914,Neither,0.5398009794386145
98,Eliza,17,0.231073,Neither,0.457594768242313
99,Elizabeth and Her German Garden,2718,0.432995,Bestsellers,0.5204910925001567
100,A Devotee An Episode in the Life of a Butterfly,6,0.10104,Neither,0.5097118710384224
101,Emily Fox Seton Being The Making of a Marchioness and The Methods of Lady Walderhurst,1431,0.35826,Neither,0.5085597174766688
102,Erewhon Revisited Twenty Years Later Both by the Original Discoverer of the Country and by His Son,133,0.311273,Neither,0.48168363383042284
103,Eric Brighteyes,476,-0.087898,Neither,0.4734590918070725
104,Esther's Charge A Story for Girls,0,0.303049,Neither,0.47762535955582314
105,Esther Waters,704,0.146386,Canonical novels,0.4849185240921094
106,Etidorhpa or The End of Earth The Strange History of a Mysterious Being and the Account of a Remarkable Journey,204,0.202808,Neither,0.509992829691345
107,Eve's Ransom,86,0.22224,Neither,0.5111029371991129
108,Evelyn Innes,7,0.306721,Neither,0.4826784475584623
109,Faith Gartney's Girlhood,0,0.353907,Neither,0.5264465533581854
110,Fan The Story of a Young Girl's Life,0,0.248439,Neither,0.4969645332921229
111,Tween Snow and Fire A Tale of the Last Kafir War,8,-0.183908,Neither,0.5476452399423695
112,A Digit of the Moon A Hindoo Love Story,181,0.131196,Neither,0.4657020078000867
113,Father Stafford,5,0.251834,Neither,0.49608497095010257
114,Fifteen Hundred Miles An Hour,3,0.302316,Neither,0.535556732261163
115,Final Proof Or The Value of Evidence,2,0.162598,Neither,0.4767248753257947
116,Fire Island,1,0.00719,Neither,0.5043446783428764
117,For Treasure Bound,0,0.489566,Neither,0.5101497943810293
118,Fordham's Feud,2,0.095689,Neither,0.5475751318323435
119,Frances Waldeaux A Novel,0,0.140156,Neither,0.5150478134915161
120,French and English A Story of the Struggle in America,0,-0.029008,Neither,0.5156512259897474
121,Friendship and Folly A Novel,3,0.206157,Neither,0.4928959264778937
122,From Kingdom to Colony,0,0.154325,Neither,0.5275641905808046
123,A Doctor of the Old School,6,0.048419,Neither,0.5187403622324419
124,From One Generation to Another,0,0.218674,Neither,0.5246165831059212
125,From the Memoirs of a Minister of France,0,-0.022944,Neither,0.4991254347706068
126,From Whose Bourne,7,0.123394,Neither,0.4526632576532352
127,Garthowen A Story of a Welsh Homestead,0,0.469029,Neither,0.5055240924412542
128,Gaston de Latour an unfinished romance,6,0.782791,Neither,0.5690010087067318
129,Ghetto Tragedies,13,0.062935,Neither,0.5402520496999409
130,Gil the Gunner The Youngest Officer in the East,1,0.015071,Neither,0.4892150409324268
131,Gilian The Dreamer His Fancy His Love and Adventure,6,0.050523,Neither,0.5013787173405948
132,Gold Gold in Cariboo A Story of Adventure in British Columbia,0,0.072745,Neither,0.50915964279745
133,Golden Face A Tale of the Wild West,2,-0.104959,Neither,0.5569146203007999
134,A Dog with a Bad Name,19,0.087627,Neither,0.5025785814484502
135,Good Luck,0,0.410324,Neither,0.4779831361986181
136,Grace O'Malley Princess and Pirate,1,-0.003073,Neither,0.4681094517796864
137,Green Fire A Romance,3,-0.002486,Neither,0.4943699497706923
138,Grey Roses,1,0.137957,Neither,0.5326072972285787
139,Grim Tales,126,0.079978,Neither,0.48888437124721223
140,Grisly Grisell Or The Laidly Lady of Whitburn A Tale of the Wars of the Roses,53,0.206536,Neither,0.49246175035868006
141,Guilty Bonds,3,-0.08138,Neither,0.5337776452660173
142,Half a Hero A Novel,4,0.183227,Neither,0.512575678793939
143,Heather and Snow,217,0.089632,Neither,0.4934527438618892
144,Helbeck of Bannisdale,31,0.046872,Bestsellers,0.5363032299522118
145,A Dozen Ways Of Love,4,0.226409,Neither,0.4927017867377707
146,Held Fast For England A Tale of the Siege of Gibraltar 1779-83,0,0.248522,Neither,0.474513457385635
147,Her Ladyship's Elephant,6,0.2297,Neither,0.5141050749553019
148,Her Majesty's Minister,2,0.206604,Neither,0.5288183784129284
149,Herb of Grace,14,0.379818,Neither,0.5167170670563018
150,Hilda Wade a Woman with Tenacity of Purpose,25,0.13237,Neither,0.5300540002488491
151,His Big Opportunity,12,0.307597,Neither,0.49248140563771964
152,His Grace of Osmonde Being the Portions of That Nobleman's Life Omitted in the Relation of His Lady's Story Presented to the World of Fashion under the Title of A Lady of Quality,63,0.379104,Neither,0.5146828780561424
153,His Lordship's Leopard A Truthful Narration of Some Impossible Facts,1,0.277044,Neither,0.5261935580652766
154,Hugh Wynne Free Quaker Sometime Brevet Lieutenant-Colonel on the Staff of his Excellency General Washington,0,0.166574,Neither,0.5104554126480807
155,Hunted and Harried,98,-0.105979,Neither,0.5500976229936204
156,A Duet with an Occasional Chorus,0,0.216616,Neither,0.42710818826563507
157,"I, Thou, and the Other One A Love Story",10,0.360888,Neither,0.5037121784493614
158,If Sinners Entice Thee,2,0.151547,Neither,0.5419636104174099
159,Imogen Only Eighteen,0,0.293197,Neither,0.5038579004484122
160,In a Hollow of the Hills,0,-0.021399,Neither,0.5169419599898709
