Book,Title,Goodreads,Sentiment,Status
151,His Big Opportunity,12,0.307597,Neither
152,His Grace of Osmonde Being the Portions of That Nobleman's Life Omitted in the Relation of His Lady's Story Presented to the World of Fashion under the Title of A Lady of Quality,63,0.379104,Neither
153,His Lordship's Leopard A Truthful Narration of Some Impossible Facts,1,0.277044,Neither
154,Hugh Wynne Free Quaker Sometime Brevet Lieutenant-Colonel on the Staff of his Excellency General Washington,0,0.166574,Neither
155,Hunted and Harried,98,-0.105979,Neither
156,A Duet with an Occasional Chorus,0,0.216616,Neither
157,"I, Thou, and the Other One A Love Story",10,0.360888,Neither
158,If Sinners Entice Thee,2,0.151547,Neither
159,Imogen Only Eighteen,0,0.293197,Neither
160,In a Hollow of the Hills,0,-0.021399,Neither
161,In Connection with the De Willoughby Claim,0,0.251526,Neither
162,In Direst Peril,1,0.18715,Neither
163,In Far Bolivia A Story of a Strange Wild Land,0,0.135288,Neither
164,In Greek Waters A Story of the Grecian War of Independence,0,0.223377,Neither
165,In Homespun,0,0.250775,Neither
166,In Honour's Cause A Tale of the Days of George the First,0,0.074655,Neither
167,A Fascinating Traitor An Anglo Indian Story,1,0.161927,Neither
168,In Kedar's Tents,0,0.175786,Bestsellers
169,In Search of Mademoiselle,2,0.047636,Neither
170,In Strange Company A Story of Chili and the Southern Seas,3,0.113137,Neither
171,In the Cage,717,0.33997,Neither
172,In the Day of Adversity,0,-0.029461,Neither
173,In the Days of Drake,36,0.082355,Neither
174,In the Days of Chivalry  A Tale of the Times of the Black Prince,0,0.180981,Neither
175,In the Fire of the Forge A Romance of Old Nuremberg,0,0.439865,Neither
176,In the Fog,316,-0.004978,Neither
177,In the Heart of the Rockies A Story of Adventure in Colorado,0,0.191624,Neither
178,A First Family of Tasajara,0,0.241759,Neither
179,In the Irish Brigade: A Tale of War in Flanders and Spain,0,0.223951,Neither
180,In the Mahdi's Grasp,0,0.29339,Neither
181,In the Midst of Alarms,7,0.196992,Neither
182,In the Palace of the King A Love Story of Old Madrid,14,0.070778,Neither
183,In the Quarter,10,0.073527,Neither
184,In the Roar of the Sea,15,-0.031166,Neither
185,In the Tideway,0,0.150843,Neither
186,In the Wars of the Roses A Story for the Young,0,0.39251,Neither
187,In the Year of Jubilee  Part ,136,0.143833,Neither
188,In the Yellow Sea,1,-0.001691,Neither
189,"A Friend of Caesar  A Tale of the Fall of the Roman Republic  Time, 50-47 B.C.",25,0.001189,Neither
190,In White Raiment,0,0.115688,Neither
191,Into the Highways and Hedges,1,-0.006579,Neither
192,Jack of Both Sides The Story of a School War,1,0.057193,Neither
193,Jane Field  A Novel,0,0.148023,Neither
194,Jennie Baxter Journalist,9,0.359134,Neither
